caldt,vwretd,vwretx,sprtrn
19480730,-0.050288,-0.051750,-0.053166
19480831,0.003762,-0.002900,0.007571
19480930,-0.029813,-0.035123,-0.030056
19481030,0.060316,0.057425,0.067786
19481130,-0.092077,-0.102565,-0.108223
19481231,0.032566,0.024024,0.030508
19490131,0.003074,0.001118,0.001316
19490228,-0.028852,-0.036237,-0.039422
19490331,0.041537,0.035339,0.030096
19490430,-0.017972,-0.020566,-0.021248
19490531,-0.028488,-0.035515,-0.037313
19490630,0.002180,-0.004382,-0.002114
19490729,0.056377,0.054776,0.062147
19490831,0.026916,0.018887,0.011968
19490930,0.032082,0.027265,0.023653
19491031,0.031801,0.030002,0.029525
19491130,0.018535,0.004549,0.001247
19491231,0.052267,0.044769,0.043587
19500131,0.017764,0.015872,0.017303
19500228,0.015234,0.008173,0.009971
19500331,0.012742,0.007457,0.004065
19500429,0.040678,0.038736,0.045113
19500531,0.044173,0.036817,0.039292
19500630,-0.058018,-0.062799,-0.058040
19500731,0.016122,0.014577,0.008479
19500831,0.050875,0.040213,0.032511
19500929,0.049044,0.044122,0.055917
19501031,-0.001184,-0.002931,0.004113
19501130,0.029056,0.012268,-0.001024
19501230,0.057946,0.051048,0.046130
19510131,0.058735,0.056761,0.061244
19510228,0.014086,0.007435,0.006464
19510331,-0.021115,-0.025753,-0.018349
19510430,0.050061,0.048488,0.048131
19510531,-0.022464,-0.029970,-0.040571
19510629,-0.025533,-0.029834,-0.026022
19510731,0.071611,0.070243,0.068702
19510831,0.045004,0.036750,0.039286
19510928,0.009087,0.005339,-0.000859
19511031,-0.022629,-0.024556,-0.013758
19511130,0.006193,-0.004035,-0.002616
19511231,0.035266,0.030241,0.038899
19520131,0.017002,0.015420,0.015566
19520229,-0.025141,-0.032328,-0.036454
19520331,0.045870,0.041726,0.047721
19520430,-0.049148,-0.050847,-0.043086
19520529,0.032847,0.025367,0.023156
19520630,0.039575,0.035588,0.046102
19520731,0.011404,0.009897,0.017628
19520829,-0.006733,-0.013803,-0.014567
19520930,-0.019147,-0.023065,-0.019577
19521031,-0.005309,-0.006960,-0.000815
19521128,0.059347,0.049762,0.046493
19521231,0.031066,0.026399,0.035464
19530130,-0.001644,-0.002728,-0.007151
19530227,-0.001820,-0.009109,-0.018196
19530331,-0.012862,-0.016681,-0.023552
19530430,-0.027705,-0.029126,-0.026493
19530529,0.006921,-0.000349,-0.003249
19530630,-0.016377,-0.020523,-0.016300
19530731,0.025111,0.023557,0.025269
19530831,-0.044056,-0.051365,-0.057778
19530930,0.003010,-0.001313,0.001286
19531030,0.047523,0.045928,0.050964
19531130,0.028501,0.018445,0.008965
19531231,0.000678,-0.004642,0.002019
19540129,0.052722,0.051500,0.051189
19540226,0.017551,0.010325,0.002684
19540331,0.037377,0.033374,0.030210
19540430,0.043162,0.041819,0.048998
19540528,0.031704,0.025208,0.032909
19540630,0.011560,0.007767,0.000685
19540730,0.050668,0.049442,0.057172
19540831,-0.022763,-0.029369,-0.034003
19540930,0.064633,0.061381,0.083138
19541029,-0.016216,-0.017622,-0.019499
19541130,0.095387,0.086046,0.080808
19541231,0.055469,0.051806,0.050818
19550131,0.006838,0.006027,0.018066
19550228,0.031354,0.025725,0.003549
19550331,-0.000995,-0.004256,-0.004897
19550429,0.032352,0.031343,0.037726
19550531,0.012033,0.006450,-0.001317
19550630,0.066108,0.063181,0.082300
19550729,0.020246,0.019366,0.060687
19550831,0.004197,-0.001579,-0.007813
19550930,-0.002009,-0.004543,0.011348
19551031,-0.025752,-0.026812,-0.030456
19551130,0.071864,0.062697,0.074870
19551230,0.016543,0.013390,-0.000659
19560131,-0.028119,-0.029475,-0.036500
19560229,0.039610,0.034439,0.034687
19560329,0.068456,0.065641,0.069255
19560430,0.005083,0.004136,-0.002063
19560531,-0.049309,-0.054848,-0.065730
19560629,0.037251,0.034540,0.039159
19560731,0.050830,0.049531,0.051522
19560831,-0.029820,-0.034965,-0.038064
19560928,-0.049608,-0.052064,-0.045464
19561031,0.007292,0.005534,0.005072
19561130,0.004678,-0.002238,-0.010970
19561231,0.034957,0.031548,0.035271
19570131,-0.032121,-0.033529,-0.041783
19570228,-0.018703,-0.024198,-0.032648
19570329,0.024112,0.020947,0.019649
19570430,0.045179,0.043785,0.036953
19570531,0.036679,0.031177,0.036948
19570628,-0.005054,-0.007812,-0.001265
19570731,0.008938,0.007362,0.011400
19570830,-0.050051,-0.055226,-0.056147
19570930,-0.057586,-0.060387,-0.061920
19571031,-0.041251,-0.043050,-0.032060
19571129,0.025605,0.018521,0.016074
19571231,-0.037360,-0.041179,-0.041467
19580131,0.049595,0.048239,0.042761
19580228,-0.014257,-0.020351,-0.020624
19580331,0.033700,0.030263,0.030852
19580430,0.030833,0.029282,0.031829
19580529,0.024582,0.019186,0.014963
19580630,0.029493,0.026265,0.026083
19580731,0.044844,0.043276,0.043103
19580829,0.019181,0.014464,0.011867
19580930,0.048680,0.045746,0.048377
19581031,0.027184,0.025739,0.025370
19581128,0.030610,0.025441,0.022404
19581231,0.053099,0.050293,0.052020
19590130,0.009120,0.008122,0.003804
19590227,0.011220,0.006813,-0.000180
19590331,0.004669,0.002113,0.000541
19590430,0.037899,0.036877,0.038781
19590529,0.019595,0.015364,0.018927
19590630,0.000676,-0.001865,-0.003579
19590731,0.034362,0.033327,0.034890
19590831,-0.012446,-0.016502,-0.015039
19590930,-0.044977,-0.047403,-0.045638
19591030,0.015746,0.014613,0.011252
19591130,0.018557,0.013272,0.013213
19591231,0.028043,0.025271,0.027625
19600129,-0.066244,-0.067191,-0.071464
19600229,0.014419,0.009714,0.009171
19600331,-0.012822,-0.015488,-0.013899
19600429,-0.015271,-0.016329,-0.017528
19600531,0.034098,0.029279,0.026853
19600630,0.022833,0.020134,0.019524
19600729,-0.022705,-0.023635,-0.024772
19600831,0.032215,0.027065,0.026121
19600930,-0.058673,-0.060860,-0.060393
19601031,-0.004705,-0.005921,-0.002429
19601130,0.048617,0.042646,0.040270
19601230,0.048537,0.046230,0.046273
19610131,0.063952,0.062787,0.063156
19610228,0.037005,0.032834,0.026870
19610330,0.030610,0.028347,0.025536
19610428,0.005645,0.004884,0.003843
19610531,0.025894,0.021619,0.019139
19610630,-0.028499,-0.030570,-0.028846
19610731,0.029955,0.029207,0.032797
19610831,0.026854,0.021872,0.019623
19610929,-0.019990,-0.021266,-0.019686
19611031,0.027331,0.026092,0.028323
19611130,0.045451,0.039879,0.039347
19611229,0.000713,-0.000599,0.003225
19620131,-0.036147,-0.037488,-0.037876
